iter,rank,ant_move_s,phen_sync_s,evaporation_s,total_s
1,3,0.00630516,0.0102162,0.00123425,0.0177556
2,3,0.00733283,0.0235126,0.00234192,0.0331873
3,3,0.00826046,0.0320419,0.00336072,0.0436631
4,3,0.00926894,0.0386751,0.00382386,0.0517679
5,3,0.0110617,0.044988,0.00441801,0.0604677
6,3,0.0125033,0.0508423,0.00489161,0.0682372
7,3,0.0140648,0.0559457,0.00556886,0.0755794
8,3,0.0156563,0.0621211,0.00607886,0.0838562
9,3,0.0170317,0.067685,0.00953025,0.094247
10,3,0.0218323,0.0737748,0.0101675,0.105775
11,3,0.0240107,0.0844146,0.0106702,0.119096
12,3,0.0251896,0.09075,0.0112646,0.127204
13,3,0.0263431,0.095982,0.0118088,0.134134
14,3,0.028125,0.102268,0.0125874,0.14298
15,3,0.0293476,0.107277,0.0131332,0.149758
16,3,0.0303635,0.113146,0.0135637,0.157073
17,3,0.0314501,0.118279,0.0139057,0.163635
18,3,0.0324973,0.123358,0.0143089,0.170165
19,3,0.0335931,0.128867,0.0147477,0.177207
20,3,0.0346709,0.133615,0.0151196,0.183405
21,3,0.0360039,0.13857,0.0155058,0.190079
22,3,0.0373045,0.14358,0.0162781,0.197162
23,3,0.0386387,0.148643,0.0165685,0.203851
24,3,0.0394846,0.153718,0.0172579,0.210461
25,3,0.0405986,0.158798,0.0180573,0.217454
26,3,0.0445595,0.163605,0.0183116,0.226476
27,3,0.0457491,0.16848,0.0189688,0.233198
28,3,0.0470832,0.173228,0.0193889,0.2397
29,3,0.0483085,0.178503,0.0198313,0.246643
30,3,0.0496552,0.183557,0.0202164,0.253429
31,3,0.0509022,0.188596,0.0206323,0.26013
32,3,0.0521798,0.193382,0.0211878,0.266749
33,3,0.0534835,0.198398,0.0215927,0.273475
34,3,0.0546572,0.203684,0.022019,0.28036
35,3,0.055754,0.209753,0.022746,0.288253
36,3,0.0566516,0.215026,0.0230577,0.294735
37,3,0.057969,0.219908,0.0234578,0.301335
38,3,0.05929,0.224768,0.0239098,0.307968
39,3,0.0605978,0.229231,0.0243007,0.314129
40,3,0.0618793,0.233827,0.0247901,0.320497
41,3,0.0632096,0.238494,0.0251573,0.326861
42,3,0.0643556,0.243357,0.0255713,0.333284
43,3,0.0656572,0.248222,0.026071,0.339951
44,3,0.0669751,0.252959,0.0265537,0.346488
45,3,0.0680741,0.257872,0.0268657,0.352812
46,3,0.0693118,0.262291,0.0272826,0.358885
47,3,0.0705527,0.26697,0.0277132,0.365235
