iter,rank,ant_move_s,phen_sync_s,evaporation_s,total_s
108,1,0.134508,0.556507,0.05002,0.741035
109,1,0.135702,0.560985,0.0505817,0.747268
110,1,0.136807,0.565661,0.051046,0.753514
111,1,0.137701,0.570621,0.0513311,0.759653
112,1,0.13884,0.575347,0.0516429,0.76583
113,1,0.139827,0.580214,0.0519184,0.771959
114,1,0.141259,0.584497,0.0522001,0.777957
115,1,0.14254,0.588915,0.0524289,0.783884
116,1,0.143634,0.593241,0.0528312,0.789707
117,1,0.144663,0.598183,0.0531096,0.795955
118,1,0.145916,0.602774,0.0534247,0.802115
119,1,0.147045,0.607331,0.0538108,0.808186
120,1,0.148457,0.612746,0.0541708,0.815373
121,1,0.149844,0.617143,0.0544551,0.821442
122,1,0.151171,0.621535,0.0549279,0.827634
123,1,0.152469,0.626151,0.0553345,0.833954
124,1,0.153649,0.631168,0.0556344,0.840452
125,1,0.154821,0.635762,0.0559359,0.846519
126,1,0.155843,0.640406,0.0561333,0.852381
127,1,0.156634,0.645403,0.0564602,0.858497
128,1,0.15782,0.65034,0.0567332,0.864894
129,1,0.159029,0.654874,0.0571064,0.87101
130,1,0.160166,0.659505,0.0574324,0.877104
131,1,0.161264,0.664502,0.0577195,0.883485
132,1,0.162456,0.669189,0.0582785,0.889924
133,1,0.163578,0.673919,0.05873,0.896227
134,1,0.164839,0.678906,0.0592907,0.903035
135,1,0.166449,0.684789,0.0609583,0.912196
136,1,0.167559,0.690259,0.0612808,0.919098
137,1,0.168719,0.694938,0.0615621,0.925219
138,1,0.169992,0.699533,0.0618907,0.931415
139,1,0.171154,0.704641,0.0622601,0.938055
140,1,0.172378,0.709211,0.0628197,0.944409
141,1,0.17318,0.71392,0.0632668,0.950368
142,1,0.174454,0.718265,0.0636854,0.956404
143,1,0.175495,0.723336,0.0640913,0.962922
144,1,0.17649,0.728212,0.0645032,0.969205
145,1,0.177586,0.73304,0.064821,0.975447
146,1,0.178785,0.737734,0.0652503,0.981769
147,1,0.179831,0.74245,0.0656693,0.98795
148,1,0.181096,0.747189,0.0661578,0.994442
149,1,0.182387,0.751943,0.0664975,1.00083
150,1,0.183638,0.75659,0.0667363,1.00696
151,1,0.184821,0.761029,0.0670953,1.01295
152,1,0.186239,0.765101,0.0674853,1.01883
153,1,0.187541,0.769444,0.0679093,1.02489
154,1,0.188744,0.774004,0.0682372,1.03099
155,1,0.18978,0.778885,0.0685935,1.03726
156,1,0.190647,0.783512,0.0691783,1.04334
157,1,0.191587,0.788395,0.0694752,1.04946
158,1,0.192631,0.794227,0.0697548,1.05661
159,1,0.193711,0.799595,0.0702155,1.06352
160,1,0.194716,0.804146,0.0705425,1.0694
161,1,0.195786,0.808765,0.0708937,1.07544
162,1,0.196976,0.813352,0.0713349,1.08166
163,1,0.198192,0.817575,0.0717607,1.08753
164,1,0.199412,0.822192,0.0720297,1.09363
165,1,0.200693,0.826632,0.0725316,1.09986
166,1,0.201935,0.831552,0.0728756,1.10636
167,1,0.203107,0.836271,0.0731218,1.1125
168,1,0.204146,0.840794,0.0734718,1.11841
169,1,0.205337,0.845287,0.0738228,1.12445
170,1,0.20644,0.850018,0.0740814,1.13054
171,1,0.207632,0.854491,0.0744675,1.13659
172,1,0.208851,0.858964,0.0748675,1.14268
173,1,0.210083,0.863381,0.0752366,1.1487
174,1,0.211128,0.867925,0.0755113,1.15456
175,1,0.212233,0.872875,0.0758681,1.16098
176,1,0.213411,0.877485,0.0762632,1.16716
177,1,0.21467,0.882197,0.0766613,1.17353
178,1,0.216006,0.886481,0.0771176,1.1796
179,1,0.217157,0.890804,0.077457,1.18542
180,1,0.218415,0.895755,0.0778755,1.19205
181,1,0.219711,0.901366,0.0782779,1.19936
182,1,0.220843,0.905897,0.0790895,1.20583
