iter,ant_move_s,phen_sync_s,evaporation_s,total_s
101,0.13229375,0.5188405,0.04823305,0.69936725
102,0.133415,0.5234132499999999,0.048604625,0.7054325
103,0.13454349999999998,0.5280447500000001,0.048950525,0.7115389999999999
104,0.13576375000000002,0.532537,0.049395875,0.71769675
105,0.13691,0.5369094999999999,0.049739975,0.723559
106,0.13796825000000001,0.54163,0.050088850000000004,0.72968725
107,0.1391505,0.5464402500000001,0.050438175,0.7360285
108,0.14031175,0.5511215,0.050867825,0.742301
109,0.14147225,0.5557974999999999,0.051273325,0.748543
110,0.1426645,0.56035125,0.051628625,0.754644
111,0.143761,0.5650295000000001,0.05195755,0.76074775
112,0.144947,0.56970975,0.05230965,0.7669665
113,0.1460375,0.57432025,0.05268575,0.77304325
114,0.14717524999999998,0.57877775,0.05300905,0.7789619999999999
115,0.14837575,0.58323825,0.053404725,0.78501875
116,0.1495225,0.58760675,0.053699175,0.79082875
117,0.150597,0.5923845,0.054086725,0.7970682499999999
118,0.15179225,0.59692875,0.054412249999999995,0.803133
119,0.1528495,0.60171275,0.054806775,0.8093684999999999
120,0.1541305,0.6071387500000001,0.055175125,0.81644375
121,0.15543525,0.6117675,0.055603275,0.822806
122,0.156721,0.61636,0.055998875,0.82908
123,0.15791349999999998,0.62108525,0.056418750000000004,0.83541725
124,0.159189,0.6259165,0.05682895,0.8419345
125,0.16032875,0.630561,0.057149725,0.8480395000000001
126,0.161409,0.635057,0.057474575,0.85394
127,0.16252250000000001,0.63967525,0.057823,0.8600205
128,0.16368275,0.644558,0.058206799999999996,0.866448
129,0.16486275,0.64908325,0.058555974999999996,0.872502
130,0.16606725,0.65366,0.059005550000000004,0.878733
131,0.16724,0.658581,0.059527725,0.8853489999999999
132,0.1683985,0.66310375,0.05999375,0.8914960000000001
133,0.169436,0.6679200000000001,0.060367149999999994,0.8977235
134,0.1706125,0.67287275,0.060859949999999996,0.90434475
135,0.17251725,0.6782334999999999,0.061625575,0.91237625
136,0.17362075,0.68357675,0.0619972,0.919195
137,0.17472025,0.68818675,0.0623542,0.925261
138,0.1758805,0.69270125,0.06271435,0.93129575
139,0.17698825,0.69786825,0.0631297,0.937986
140,0.17820325,0.70252725,0.0636318,0.94436225
141,0.17934025,0.706881,0.0640906,0.9503122500000001
142,0.18049925,0.711478,0.064402675,0.95638
143,0.18156525,0.71649625,0.0647441,0.9628055
144,0.182673,0.7212594999999999,0.065132625,0.96906525
145,0.1837645,0.726077,0.065507325,0.975349
146,0.18510825,0.73067875,0.06594554999999999,0.98173275
147,0.18632975,0.73527475,0.06630945,0.987914
148,0.1875605,0.73988575,0.066639575,0.9940855
149,0.1887725,0.74447925,0.0670291,1.000281
150,0.190015,0.74906575,0.067392375,1.00647
151,0.19114625,0.75377625,0.067724225,1.0126475
152,0.19237549999999998,0.75824,0.06806055,1.0186775
153,0.1935105,0.76275375,0.068464925,1.0247275
154,0.19470475,0.767323,0.068874175,1.0309025
155,0.19591275,0.77201275,0.06929155000000001,1.0372175000000001
156,0.1969625,0.77664075,0.070094725,1.0436975
157,0.19806275,0.78135725,0.070515675,1.049935
158,0.19962375,0.78667075,0.07090765,1.0572
