iter,rank,ant_move_s,phen_sync_s,evaporation_s,total_s
1,2,0.00996476,0.00649176,0.0022571,0.0187136
2,2,0.0109356,0.0201888,0.00261464,0.0337391
3,2,0.0121862,0.0284067,0.00334918,0.0439421
4,2,0.0134386,0.0343776,0.00365239,0.0514686
5,2,0.0143029,0.0416364,0.00392106,0.0598604
6,2,0.0158808,0.0473679,0.00441541,0.0676641
7,2,0.0172785,0.0526389,0.00502086,0.0749383
8,2,0.0189043,0.0587884,0.00565442,0.0833471
9,2,0.0203663,0.0642779,0.00623455,0.0908787
10,2,0.0215321,0.0740172,0.00689627,0.102445
11,2,0.0241729,0.0842181,0.00746499,0.115856
12,2,0.0256256,0.0902943,0.00781778,0.123738
13,2,0.0267896,0.0955328,0.00836269,0.130685
14,2,0.0282337,0.102174,0.00895631,0.139364
15,2,0.0296286,0.10702,0.00960753,0.146256
16,2,0.0309016,0.112635,0.00996633,0.153503
17,2,0.0319601,0.117803,0.010342,0.160105
18,2,0.0329631,0.122924,0.0106609,0.166548
19,2,0.0339399,0.128557,0.0112368,0.173734
20,2,0.0351889,0.133143,0.0117613,0.180093
21,2,0.0364564,0.138176,0.0121327,0.186766
22,2,0.0378783,0.14308,0.0124199,0.193378
23,2,0.0389075,0.14846,0.0126912,0.200058
24,2,0.0400317,0.153272,0.0130625,0.206366
25,2,0.0410269,0.158491,0.0134092,0.212927
26,2,0.0418857,0.166409,0.0137402,0.222035
27,2,0.0429948,0.171384,0.014228,0.228607
28,2,0.0440223,0.176445,0.0147621,0.23523
29,2,0.0452049,0.181768,0.0151525,0.242125
30,2,0.0461095,0.187276,0.0154034,0.248788
31,2,0.0470947,0.192593,0.0157506,0.255438
32,2,0.0482421,0.197513,0.0163403,0.262096
33,2,0.0492387,0.202844,0.0169019,0.268985
34,2,0.0504684,0.208086,0.0173041,0.275858
35,2,0.0518514,0.21387,0.0177639,0.283486
36,2,0.0529574,0.218946,0.0180366,0.28994
37,2,0.0542113,0.223902,0.018571,0.296685
38,2,0.0554019,0.22891,0.019002,0.303314
39,2,0.0564415,0.233638,0.0193555,0.309436
40,2,0.0576634,0.238306,0.0197086,0.315678
41,2,0.0589047,0.24307,0.0200385,0.322013
42,2,0.0599589,0.248038,0.0205134,0.328511
43,2,0.0613155,0.252861,0.0210324,0.335209
44,2,0.0625374,0.257704,0.0214241,0.341665
45,2,0.0637668,0.262502,0.0216666,0.347935
46,2,0.0650505,0.26688,0.0219981,0.353929
47,2,0.066325,0.271534,0.0223552,0.360214
48,2,0.0674326,0.276077,0.0227498,0.366259
49,2,0.0684854,0.280494,0.0231944,0.372174
50,2,0.0695945,0.28532,0.0235015,0.378416
51,2,0.0705371,0.290091,0.0238995,0.384528
52,2,0.0718899,0.294637,0.0243485,0.390876
