iter,rank,ant_move_s,phen_sync_s,evaporation_s,total_s
1,0,0.00180886,0.0147303,0.00145169,0.0179909
2,0,0.00433756,0.0246018,0.00189602,0.0308354
3,0,0.00803823,0.0297027,0.00233101,0.0400719
4,0,0.00897173,0.0359084,0.0036826,0.0485628
5,0,0.0104787,0.0423257,0.00404804,0.0568525
6,0,0.0117075,0.0481334,0.00434832,0.0641892
7,0,0.013147,0.0533801,0.00529181,0.071819
8,0,0.0150837,0.059175,0.00583702,0.0800957
9,0,0.0166645,0.0640831,0.00660597,0.0873536
10,0,0.0181994,0.0732541,0.0084798,0.0999333
11,0,0.0245224,0.0797382,0.00907713,0.113338
12,0,0.0264802,0.0860687,0.00948223,0.122031
13,0,0.0276849,0.0907919,0.00982044,0.128297
14,0,0.0292909,0.0964005,0.0102421,0.135933
15,0,0.0305743,0.101352,0.0109409,0.142867
16,0,0.0318807,0.106905,0.0113536,0.150139
17,0,0.0330854,0.111949,0.0117727,0.156808
18,0,0.034208,0.116759,0.0121368,0.163104
19,0,0.0353491,0.12255,0.0133527,0.171251
20,0,0.0367569,0.127281,0.0137582,0.177796
21,0,0.0379345,0.132403,0.0142168,0.184554
22,0,0.0391861,0.137029,0.01462,0.190835
23,0,0.0401867,0.142029,0.0150992,0.197315
24,0,0.0413827,0.14681,0.0154882,0.203681
25,0,0.042475,0.151859,0.0158497,0.210184
26,0,0.0437377,0.159652,0.0162306,0.219621
27,0,0.044907,0.165021,0.0165632,0.226491
28,0,0.0460623,0.169991,0.0170465,0.2331
29,0,0.0474155,0.175345,0.0176775,0.240438
30,0,0.0487852,0.180124,0.0181406,0.247049
31,0,0.0499743,0.185201,0.0184881,0.253664
32,0,0.0511881,0.189862,0.0189232,0.259973
33,0,0.0524035,0.195016,0.0193338,0.266754
34,0,0.0536451,0.20024,0.0197367,0.273622
35,0,0.055058,0.205935,0.0202017,0.281194
36,0,0.0561982,0.211336,0.0204962,0.28803
37,0,0.0578456,0.215419,0.0210307,0.294295
38,0,0.0592089,0.220561,0.0227572,0.302527
39,0,0.0604525,0.225094,0.0232491,0.308795
40,0,0.0617152,0.229766,0.0237519,0.315233
41,0,0.06298,0.234756,0.0241756,0.321912
42,0,0.0641947,0.23956,0.0246463,0.328401
43,0,0.065539,0.243927,0.0250226,0.334488
44,0,0.0667366,0.248817,0.0253181,0.340872
45,0,0.0680898,0.253167,0.0257277,0.346984
46,0,0.0693863,0.257956,0.0261281,0.353471
47,0,0.0707916,0.26247,0.0264734,0.359735
48,0,0.0720973,0.266815,0.0267957,0.365708
49,0,0.073202,0.271243,0.0272251,0.37167
50,0,0.0742495,0.275658,0.0276239,0.377532
51,0,0.0755409,0.28052,0.0280166,0.384078
52,0,0.0767659,0.285183,0.0284697,0.390419
53,0,0.0780231,0.289684,0.0288004,0.396508
54,0,0.0792074,0.294302,0.0291418,0.402651
55,0,0.0802335,0.298929,0.0294538,0.408617
56,0,0.0813332,0.303856,0.0297431,0.414932
57,0,0.0827669,0.308604,0.0302136,0.421584
58,0,0.0839425,0.313208,0.0305594,0.42771
59,0,0.0852469,0.317911,0.0309812,0.434139
60,0,0.0864916,0.323897,0.0315536,0.441942
61,0,0.0874707,0.32869,0.031895,0.448055
62,0,0.0886991,0.33309,0.0322827,0.454072
63,0,0.0903511,0.337586,0.0329697,0.460907
64,0,0.0916752,0.342267,0.033184,0.467126
65,0,0.0928448,0.346972,0.0337957,0.473612
66,0,0.0938876,0.352233,0.0341168,0.480237
67,0,0.0949069,0.356891,0.0344226,0.48622
68,0,0.095964,0.362593,0.0348026,0.493359
69,0,0.0972268,0.367126,0.0352033,0.499556
70,0,0.0985008,0.371871,0.0355354,0.505907
71,0,0.0998323,0.376931,0.0358206,0.512584
72,0,0.101012,0.381548,0.0362241,0.518784
73,0,0.102188,0.386174,0.0364993,0.524861
74,0,0.103032,0.391025,0.0367821,0.530838
75,0,0.104074,0.395375,0.0373592,0.536808
76,0,0.105318,0.399952,0.0376972,0.542967
77,0,0.106497,0.404765,0.0380832,0.549345
78,0,0.107919,0.409753,0.0385086,0.55618
79,0,0.109117,0.41415,0.0388254,0.562093
80,0,0.110324,0.418348,0.0391731,0.567845
81,0,0.111606,0.422851,0.0395466,0.574004
82,0,0.112583,0.427571,0.0399195,0.580074
83,0,0.113654,0.43206,0.0403696,0.586084
84,0,0.114918,0.436458,0.0406301,0.592006
85,0,0.116105,0.441029,0.0410245,0.598159
86,0,0.11731,0.44537,0.0413652,0.604046
87,0,0.118387,0.450082,0.0417304,0.6102
88,0,0.119435,0.454776,0.0421223,0.616333
89,0,0.120708,0.459357,0.0426345,0.622699
90,0,0.121905,0.463891,0.0429423,0.628738
91,0,0.123139,0.468829,0.04347,0.635438
92,0,0.124165,0.473844,0.0438088,0.641817
93,0,0.125248,0.478387,0.0441067,0.647742
94,0,0.126568,0.483292,0.0445407,0.654401
95,0,0.12775,0.487813,0.0449451,0.660508
96,0,0.128864,0.492408,0.0451886,0.666461
97,0,0.129781,0.49715,0.0455778,0.672509
98,0,0.130876,0.502114,0.0459725,0.678962
99,0,0.131983,0.506808,0.0463525,0.685143
100,0,0.133202,0.511394,0.0467486,0.691346
101,0,0.134253,0.516418,0.0470866,0.697758
102,0,0.135433,0.520949,0.047515,0.703896
103,0,0.136513,0.525883,0.0477925,0.710189
104,0,0.137738,0.530623,0.0483306,0.716692
105,0,0.138793,0.534944,0.0486304,0.722367
106,0,0.139988,0.539638,0.0489937,0.72862
107,0,0.141194,0.544285,0.049477,0.734955
108,0,0.14262,0.5487,0.0499407,0.741261
109,0,0.143799,0.553195,0.0504748,0.747468
110,0,0.144995,0.557803,0.0508958,0.753693
111,0,0.146163,0.562495,0.0512291,0.759886
112,0,0.147435,0.567089,0.0516615,0.766185
113,0,0.148642,0.571741,0.0520162,0.7724
114,0,0.149883,0.576228,0.0523156,0.778426
115,0,0.151206,0.58063,0.0527455,0.784582
116,0,0.152265,0.584997,0.0530171,0.790279
117,0,0.153198,0.590032,0.0533687,0.7966
118,0,0.154328,0.594761,0.0536182,0.802706
119,0,0.155377,0.599398,0.0540561,0.808831
120,0,0.156658,0.604957,0.0545244,0.816139
121,0,0.157962,0.609454,0.0549328,0.822349
122,0,0.159263,0.613878,0.0554487,0.82859
123,0,0.160521,0.618557,0.0558412,0.834919
124,0,0.162119,0.62317,0.0563089,0.841598
125,0,0.163237,0.627826,0.0566419,0.847705
126,0,0.164398,0.632332,0.056975,0.853704
127,0,0.165727,0.636926,0.0572331,0.859886
128,0,0.16695,0.64183,0.0575336,0.866314
129,0,0.168045,0.646518,0.0578437,0.872407
130,0,0.169437,0.650899,0.0584897,0.878826
131,0,0.170756,0.655683,0.0588954,0.885335
132,0,0.17174,0.660591,0.0593912,0.891722
133,0,0.172716,0.665476,0.0597658,0.897958
134,0,0.173809,0.670632,0.0603065,0.904747
135,0,0.176329,0.675616,0.0606809,0.912626
136,0,0.17739,0.681143,0.0609705,0.919504
137,0,0.178491,0.685892,0.0614786,0.925861
138,0,0.179846,0.690415,0.0617844,0.932045
139,0,0.180917,0.695626,0.0623143,0.938857
